ID,Country,SAUP_Country_Nbr
1,Afghanistan,4
2,ALB,8
3,Albania,8
4,Algeria,12
5,DZA,12
6,American Samoa,16
7,Andorra,20
8,AGO,24
9,Angola,24
10,Antigua,28
11,Antigua and Barbuda,28
,Antigua Barb,28
,Antigua_and_Barbuda,28
12,Antigua and Barbuda,28
13,Azerbaijan,31
14,ARG,32
15,Argentina,32
16,AUS,36
17,Australia,36
18,Austria,40
19,Bahamas,44
20,"Bahamas, The",44
,BHS,44
21,Bahrain,48
22,bahrain,48
,BHR,48
23,Bangladesh,50
24,Armenia,51
25,Barbados,52
26,BE,56
27,BEL,56
28,Belgium,56
29,Belgium,56
30,Belgium (EU),56
,EU-BEL,56
31,Bermuda,60
32,Bermuda (UK),60
33,BMU,60
34,Bhutan,64
35,BOL,68
36,Bolivia,68
37,Bolivia (Plurinat.State),68
38,Bosnia and Herzegovina,70
,Bosnia Herzg,70
39,Bosnia and Herzegovina,70
40,Botswana,72
41,BRA,76
42,Brazil,76
43,Belize,84
44,BLZ,84
45,British Indian Ocean Ter,86
,SLB,90
46,Solomon Islands,90
,Solomon Is.,90
,Solomon_Islands,90
47,British Virgin Islands,92
48,British Virgin Islands,92
49,Virgin Islands (U.S.),92
50,Virgin Islands UK,92
51,Virgin Islands UK,92
52,Brunei,96
53,Brunei Darussalam,96
,Brunei Darsm,96
,Brunei_Darussalam,96
54,BG,100
55,BGR,100
56,Bulgaria,100
57,Bulgaria,100
58,Bulgaria,100
59,Myanmar,104
60,Burundi,108
61,Eritrea,111
62,Belarus,112
63,Cambodia,116
,KHM,116
64,Cameroon,120
,CMR,120
65,CA,124
66,CAN,124
67,Canada,124
68,Canada Central & Arctic,124
69,Canada Gulf,124
70,Canada Maritimes,124
71,Canada Maritimes & Quebec,124
72,Canada Newfoundland,124
73,Canada Quebec,124
74,Canada Scotia - Fundy,124
75,Cabo Verde,132
,Cape_Verde,132
76,Cabo Verde,132
77,Cape Verde,132
78,CPV,132
79,CV,132
80,Cayman Islands,136
81,Cayman Islands,136
82,CYM,136
83,Central African Republic,140
84,Central African Republic,140
,LKA,144
85,Sri Lanka,144
86,SriLanka,144
87,Chad,148
88,Chile,152
89,CHL,152
90,China,156
,China Main,156
91,China,156
92,CHN,156
999,Chinese Taipei,157
93,Taiwan,157
94,Taiwan Province of China,157
95,Taiwan Province of China,157
96,Taiwan Province of China  ,157
97,TW,157
98,TWN,157
99,Christmas Island (Australia),162
100,COL,170
101,Colombia,170
102,Colombia,170
103,Columbia,170
,COM,174
104,Comoros,174
105,May,175
106,Mayotte,175
,MYT,175
107,COG,178
108,Congo,178
109,Congo Republic,178
,Congo Rep,178
110,Congo Republic of,178
111,"Congo, Rep.",178
112,"Congo, Republic of",178
113,Congo (Dem. Rep. ),180
114,Congo Dem Rep,180
115,Congo Dem. Rep. of the,180
,Dem_Rep_of_Congo,180
116,"Congo, Dem. Rep.",180
117,"Congo, Dem. Rep. of the",180
118,COK,184
,Cook_Islands,184
119,Cook Islands,184
120,Costa Rica,188
,Costa_Rica,188
121,Costa Rica,188
122,CRI,188
123,Croatia,191
,EU-HRV,191
124,HRV,191
126,CUB,192
125,Cuba,192
127,CYP,196
128,Cyprus,196
,EU-CYP,196
129,Czechoslovakia,200
130,Czech Republic,203
131,Czech Republic,203
132,Benin,204
133,Denmark,208
134,Denmark Mainland,208
135,DK,208
136,DNK,208
,DMA,212
137,Dominica,212
138,DOM,214
139,Dominican Republic,214
140,Dominican Republic,214
,Dominican Rp,214
,Dominican_Republic,214
141,ECU,218
142,Ecuador,218
143,El Salvador,222
144,El_Salvador,222
145,SLV,222
146,Equatorial Guinea,226
,Eq Guinea,226
,Equatorial_Guinea,226
147,GNQ,226
148,Ethiopia,230
149,Ethiopia PDR,230
150,EE,233
151,EST,233
152,Estonia,233
153,Estonia,233
154,Estonia,233
155,Faeroe Islands,234
156,Faroe Islands,234
157,Faroe Islands,234
158,Faroe_Islands,234
159,Faroes,234
160,FO,234
,FRO,234
161,Falkland Is.(Malvinas),238
,FLK,238
162,Fiji,242
163,Fiji Republic of,242
164,"Fiji, Republic of",242
165,FJI,242
166,FI,246
167,FIN,246
168,Finland,246
,ATF,250
,EU-FRA,250
169,FR,250
170,FRA,250
171,France,250
172,France,250
173,France (EU),250
174,France Mainland,250
175,French Southern Terr,250
176,French Guiana,254
,French_Guiana,254
,GUF,254
177,Guy,254
,French_Polynesia,258
178,French Polynesia,258
179,Poly,258
,PYF,258
180,Djibouti,262
181,Gabon,266
182,GEO,268
183,Georgia,268
184,Gambia,270
185,"Gambia, The",270
186,Gaza,274
187,Palestine,274
188,Palestine Occupied Tr.,274
189,"Palestine, Occupied Tr.",274
190,DDR,276
191,DE,276
192,DEU,276
193,Federal Republic of Germany,276
194,German Democratic Republic,276
195,Germany,276
196,Germany,276
197,"Germany, Fed. Rep. of",276
198,"Germany, New Läè_nder",276
199,GHA,288
200,Ghana,288
201,Ghana,288
202,Gibraltar,292
203,KIR,296
204,Kiribati,296
,EU-GRC,300
205,GRC,300
206,Greece,300
207,Denmark Greenland,304
208,GL,304
209,Greenland,304
210,Greenland,304
,GRL,304
211,Grenada,308
,GLP,312
212,Guad,312
213,Guadeloupe,312
214,Guam,316
215,Guam (USA),316
216,GTM,320
217,Guatemala,320
218,GIN,324
219,Guinea,324
220,Guyana,328
221,Haiti,332
,HTI,332
222,HND,340
223,Honduras,340
224,Honduras,340
225,China Hong.Kong,344
226,"China, Hong Kong SAR",344
227,HK,344
,HKG,344
228,Hong Kong,344
229,"Hong Kong SAR, China",344
230,Hungary,348
231,Iceland,352
232,Iceland,352
233,Iceland,352
234,IS,352
235,ISL,352
236,IND,356
237,India,356
238,IDN,360
239,Indonesia,360
240,Iran,364
241,Iran (Islamic Rep. of),364
242,"Iran, Islamic Rep.",364
,IRN,364
