"","X","Year","Length_Category","Sector","SAUP","GearCode","NV","GT","P","NVActive","GTActive","PActive","NomEffort","NomEffortActive","CreepLinCompounded","CreepLogCompounded","Family","Code","EffEffortLin","EffEffortLog","Sector2"
"1",31023,1950,"6-12m","APW",534,"GN",6,20.853606,173.74116,4.338,15.077157138,125.61485868,35623.48,25755.77604,6.75751659367983,5.46341570917155,"NT",31023,38030.7425722462,37569.7388024736,"AUP"
"2",31091,1950,"Less than 6m","APW",534,"GN",3,3.5351908,24.730611,2.169,2.5559429484,17.880231753,5078.432,3671.706336,6.75751659367983,5.46341570917155,"NT",31091,5421.60788509875,5355.88785166759,"AUP"
"3",31159,1950,"6-12m","UP",534,"GN",3,9.435676,0,2.169,6.821993748,0,744.8823,538.5499029,6.75751659367983,5.46341570917155,"NT",31159,795.217845025884,785.578316593038,"AUP"
"4",31220,1950,"Less than 6m","UP",534,"GN",49,41.899897,0,35.427,30.293625531,0,12258.832,8863.135536,6.75751659367983,5.46341570917155,"NT",31220,13087.2246065913,12928.5829532489,"AUP"
"5",34308,1950,"6-12m","APW",616,"GN",126,1370.105,7647.2377,116.0325558,1261.7205147965,7042.28996143741,1554580.02,1431602.32473187,4.198,1.205,"NT",34308,1619841.2892396,1573312.709241,"AUP"
"6",34431,1950,"12-24m","I",616,"GN",155,4351.6353,17701.1,142.7384615,4007.39179181349,16300.82439263,3516865.8,3238658.15221914,4.198,1.205,"NT",34431,3664503.826284,3559244.03289,"I"
"7",34604,1950,"Less than 6m","UP",616,"GN",200,180,0,184.17866,165.760794,0,128120,117984.849596,4.198,1.205,"NT",34604,133498.4776,129663.846,"AUP"
"8",36124,1950,"6-12m","UP",626,"GN",32,264.5962,0,23.136,191.3030526,0,5763.649,4167.118227,6.75751659367983,5.46341570917155,"NT",36124,6153.12853757646,6078.54110488751,"AUP"
"9",36192,1950,"Less than 6m","UP",626,"GN",65,164.4732,0,46.995,118.9141236,0,11742.37,8489.73351,6.75751659367983,5.46341570917155,"NT",36192,12535.8626012413,12383.904487209,"AUP"
"10",50266,1950,"6-12m","UP",626,"GU",1,8.315813,0,0.723,6.012332799,0,180.114,130.222422,1.80935038025089,0.71,"OT",50266,183.372893343885,181.3928094,"AUP"
"11",54248,1950,"12-24m","I",234,"HL",55,3216.1229,20221.7203,39.765,2325.2568567,14620.3037769,3990826,2885367.198,6.31333333333333,3.3575,"HL",54248,4242780.14813333,4124817.98295,"I"
"12",54316,1950,"24-50m","I",234,"HL",67,22612.465,52174.52,48.441,16348.812195,37722.17796,10599730,7663604.79,6.31333333333333,3.3575,"HL",54316,11268926.2873333,10955615.93475,"I"
"13",62367,1950,"6-12m","UP",626,"HL",2,16.63163,0,1.446,12.02466849,0,360.228,260.444844,16.7988589290876,2.75017587591017,"HL",62367,420.742193543074,370.134903554274,"AUP"
"14",74177,1950,"12-24m","APW",234,"LL",1,19.5777,144.5019,0.723,14.1546771,104.4748737,29398.04,21254.78292,6.31333333333333,1.93,"HL",74177,31254.0362586667,29965.422172,"AUP"
"15",74301,1950,"6-12m","APW",234,"LL",27,205.24407,1296.7662,19.521,148.39146261,937.5619626,265160.48,191711.02704,6.31333333333333,1.93,"HL",74301,281900.944970667,270278.077264,"AUP"
"16",86056,1950,"6-12m","APW",534,"LL",6,20.207619,188.19374,4.338,14.610108537,136.06407402,38586.822,27898.272306,7.67352100902387,1.93726436867906,"HL",86056,41547.7898928846,39334.3507536116,"AUP"
"17",86124,1950,"Less than 6m","APW",534,"LL",2,2.2133288,14.845255,1.446,1.6002367224,10.733119365,3051.562,2206.279326,7.67352100902387,1.93726436867906,"HL",86124,3285.72425117339,3110.67882331415,"AUP"
"18",86192,1950,"6-12m","UP",534,"LL",8,23.324776,0,5.784,16.863813048,0,1986.3523,1436.1327129,7.67352100902387,1.93726436867906,"HL",86192,2138.77546105373,2024.83319534434,"AUP"
"19",86252,1950,"Less than 6m","UP",534,"LL",60,51.28314,0,43.38,37.07771022,0,15010.814,10852.818522,7.67352100902387,1.93726436867906,"HL",86252,16162.6719659155,15301.6131510707,"AUP"
"20",88305,1950,"6-12m","APW",616,"LL",94,1288.1,6781.375,86.5639702,1186.20265973,6244.9228022875,1377167.62,1268224.43423495,2.76,1.93,"HL",88305,1415177.446312,1403746.955066,"AUP"
"21",88428,1950,"12-24m","I",616,"LL",118,3317.5627,13782.588,108.6654094,3055.12126275991,12692.2929458604,2743008.1,2526017.78113573,2.76,3.83,"HL",88428,2818715.12356,2848065.31023,"I"
"22",88542,1950,"Less than 6m","UP",616,"LL",100,90,0,92.08933,82.880397,0,64060.02,58992.443215866,2.76,1.93,"HL",88542,65828.076552,65296.378386,"AUP"
"23",114092,1950,"12-24m","APW",234,"Multiple",1,19.5777,144.3289,0.723,14.1546771,104.3497947,29362.84,21229.33332,7.82,1.54,"OT",114092,31659.014088,29815.027736,"AUP"
"24",114213,1950,"6-12m","APW",234,"Multiple",19,142.10561,897.36332,13.737,102.74235603,648.79368036,183498.4,132669.3432,7.82,1.54,"OT",114213,197847.97488,186324.27536,"AUP"
"25",116148,1950,"6-12m","UP",534,"Multiple",1,2.77782,0,0.723,2.00836386,0,248.2941,179.5166343,3.3167112051309,0.709919573664536,"OT",116148,256.529298236379,250.056788416154,"AUP"
"26",116152,1950,"Less than 6m","UP",534,"Multiple",1,0.8554131,0,0.723,0.6184636713,0,250.1802,180.8802846,3.3167112051309,0.709919573664536,"OT",116152,258.477954726419,251.956278209233,"AUP"
"27",137611,1950,"6-12m","APW",534,"OT",2,6.951203,57.91371,1.446,5.025719769,41.87161233,11874.493,8585.258439,3.3167112051309,0.709919573664536,"OT",137611,12268.3356398835,11958.7923500804,"AUP"
"28",137679,1950,"Less than 6m","APW",534,"OT",1,1.321862,9.885354,0.723,0.955706226,7.147110942,2026.87,1465.42701,3.3167112051309,0.709919573664536,"OT",137679,2094.09542440344,2041.25914686273,"AUP"
"29",137747,1950,"6-12m","UP",534,"OT",4,11.846092,0,2.892,8.564724516,0,993.1764,718.0665372,3.3167112051309,0.709919573664536,"OT",137747,1026.11719294552,1000.22715366462,"AUP"
"30",137794,1950,"Less than 6m","UP",534,"OT",19,16.239696,0,13.737,11.741300208,0,4753.424,3436.725552,3.3167112051309,0.709919573664536,"OT",137794,4911.08134643538,4787.16948739527,"AUP"
"31",140709,1950,"Less than 6m","UP",616,"OT",100,90,0,92.08933,82.880397,0,64060.02,58992.443215866,5.72977150936481,1.88592159534017,"OT",140709,67730.5127748534,65268.1417511592,"AUP"
"32",142343,1950,"6-12m","UP",626,"OT",1,8.315813,0,0.723,6.012332799,0,180.114,130.222422,1.80935038025089,0.71,"OT",142343,183.372893343885,181.3928094,"AUP"
"33",142411,1950,"Less than 6m","UP",626,"OT",5,12.65179,0,3.615,9.14724417,0,903.2591,653.0563293,1.80935038025089,0.71,"OT",142411,919.602221960501,909.67223961,"AUP"
"34",161844,1950,"6-12m","APW",534,"PL",3,10.749798,79.64423,2.169,7.772103954,57.58277829,16330.069,11806.639887,7.67352100902387,1.93726436867906,"HL",161844,17583.1602755031,16646.4256081177,"AUP"
"35",161912,1950,"Less than 6m","APW",534,"PL",5,5.74852,39.575862,3.615,4.15617996,28.613348226,8129.995,5877.986385,7.67352100902387,1.93726436867906,"HL",161912,8753.85187435759,8287.49449631039,"AUP"
"36",161980,1950,"6-12m","UP",534,"PL",6,17.401731,0,4.338,12.581451513,0,1489.7645,1077.0997335,7.67352100902387,1.93726436867906,"HL",161980,1604.08189189248,1518.62517683573,"AUP"
"37",162038,1950,"Less than 6m","UP",534,"PL",47,40.17591,0,33.981,29.04718293,0,11758.471,8501.374533,7.67352100902387,1.93726436867906,"HL",162038,12660.759742525,11986.2636689845,"AUP"
"38",165031,1950,"6-12m","UP",626,"PL",2,16.63163,0,1.446,12.02466849,0,360.228,260.444844,16.7988589290876,2.75017587591017,"HL",165031,420.742193543074,370.134903554274,"AUP"
"39",165099,1950,"Less than 6m","UP",626,"PL",10,25.30357,0,7.23,18.29448111,0,1806.518,1306.112514,16.7988589290876,2.75017587591017,"HL",165099,2109.99241034857,1856.20042222997,"AUP"
"40",178176,1950,"12-24m","I",234,"PS",19,1143.62588,7201.7833,13.737,826.84151124,5206.8893259,1420868.69,1027288.06287,3.8,3.695,"SN",178176,1474861.70022,1473369.7880955,"I"
"41",178244,1950,"24-50m","I",234,"PS",23,7686.602,17738.869,16.629,5557.413246,12825.202287,3603815,2605558.245,3.8,3.695,"SN",178244,3740759.97,3736975.96425,"I"
"42",210888,1950,"6-12m","UP",534,"SE",5,14.623912,0,3.615,10.573088376,0,1241.4705,897.5831715,7.44894651142067,4.54332338556025,"SN",210888,1333.94697350007,1297.87451955133,"AUP"
"43",214128,1950,"6-12m","UP",626,"SE",1,8.315813,0,0.723,6.012332799,0,180.114,130.222422,7.44894651142067,4.54332338556025,"SN",214128,193.53059551958,188.297161482668,"AUP"
"44",233219,1950,"6-12m","APW",534,"TP",6,20.853606,173.74116,4.338,15.077157138,125.61485868,35623.48,25755.77604,3.235,0.776374591351712,"TP",233219,36775.899578,35900.0516472753,"AUP"
"45",233287,1950,"Less than 6m","APW",534,"TP",5,5.318124,34.65041,3.615,3.845003652,25.05224643,7127.816,5153.410968,3.235,0.776374591351712,"TP",233287,7358.4008476,7183.1545523423,"AUP"
"46",233355,1950,"6-12m","UP",534,"TP",22,63.68388,0,15.906,46.04344524,0,5462.47,3949.36581,3.235,0.776374591351712,"TP",233355,5639.1809045,5504.87922914021,"AUP"
"47",233423,1950,"Less than 6m","UP",534,"TP",91,77.77244,0,65.793,56.22947412,0,22766.397,16460.105031,3.235,0.776374591351712,"TP",233423,23502.88994295,22943.1495216743,"AUP"
"48",235033,1950,"Less than 6m","UP",616,"TP",200,180,0,184.17866,165.760794,0,128120,117984.849596,3.235,0.776374591351712,"TP",235033,132264.682,129114.69112644,"AUP"
"49",236275,1950,"6-12m","UP",626,"TP",7,58.21069,0,5.061,42.08632887,0,1260.798,911.556954,3.235,0.776374591351712,"TP",236275,1301.5848153,1270.58651532027,"AUP"
"50",236343,1950,"Less than 6m","UP",626,"TP",2,5.060715,0,1.446,3.658896945,0,361.3036,261.2225028,3.235,0.776374591351712,"TP",236343,372.99177146,364.108669348039,"AUP"
"51",251138,1950,"12-24m","APW",234,"TR",2,39.1554,289.0039,1.446,28.3093542,208.9498197,58796.08,42509.56584,1.19,0.16,"DT",251138,59495.753352,58890.153728,"AUP"
