Taxonkey,TaxonName,CommonName,Descript,TaxLevel,ISSCAAP,ISSCAAPName
100000,Marine animals,Marine animals,demersal <30 cm                                   ,1,39,Misc Finfishes
100025,Miscellaneous diadromous fishes,Diadromous fishes,demersal >=90 cm                                  ,1,25,Diadromous fishes nei
100035,Clupeoids,Herrings sardines anchovies,pelagic <30 cm                                    ,1,35,Herrings sardines anchovies
100036,Scombroids,Tunas bonitos billfishes,pelagic >=90 cm                                   ,1,36,Tunas bonitos billfishes
100038,Sharks rays chimaeras,Sharks rays skates etc,rays <90 cm                                       ,1,38,Sharks rays skates etc
100039,Marine fishes not identified,Marine fishes,demersal <30 cm                                   ,1,39,Misc Finfishes
100043,Homaridae/Palinuridae,Lobsters spiny-rock lobsters,lobsters crab                                     ,1,43,Lobsters spiny-rock lobsters
100044,King crabs squat-lobsters,Craylets squat lobsters,lobsters crab                                     ,1,44,Craylets squat lobsters
100047,Miscellaneous marine crustaceans,Marine crustaceans,lobsters crab                                     ,1,47,Marine crustaceans nei
100056,Clams cockles arkshells,Clams cockles arkshells,demersal mollusc                                  ,1,56,Clams cockles arkshells
100058,Miscellaneous marine molluscs,Marine molluscs,demersal mollusc                                  ,1,58,Marine molluscs nei
100139,Marine fishes not identified,Finfishes,demersal <30 cm                                   ,1,39,Misc Finfishes
100176,Starfish and other echinoderms,Starfishes,demersal mollusc                                  ,1,76,Seacucumbers Echinoderms starfish nei
100276,Sea-urchins and other echinoderms,Sea urchins,demersal mollusc                                  ,1,76,Seacucumbers Echinoderms starfish nei
100338,Sharks rays chimaeras,Cartilaginous fishes,rays <90 cm                                       ,1,38,Sharks rays skates etc
100339,Marine fishes not identified,Pelagic fishes,demersal <30 cm                                   ,1,39,Misc Finfishes
100345,Shrimps prawns,Natantian decapods,shrimp                                            ,1,45,Shrimps prawns
100538,Sharks rays chimaeras,Various sharks,rays <90 cm                                       ,1,38,Sharks rays skates etc
200003,Holocephali,Chimaeras ratfish rabbitfish,rays >=90 cm                                      ,2,38,Sharks rays skates etc
200004,Elasmobranchii,Sharks and rays,rays <90 cm                                       ,2,38,Sharks rays skates etc
290002,Cephalopoda,Cephalopods,cephalopods                                       ,2,57,Squids cuttlefishes octopuses
290004,Bivalvia,Clams,demersal mollusc                                  ,2,56,Clams cockles arkshells
290005,Ascidiacea,Sea squirts,demersal mollusc                                  ,2,74,Sea-squirts and other tunicates
290006,Gastropoda,Gastropods,demersal mollusc                                  ,2,52,Abalones winkles conchs
290010,Asteroidea,Sea stars,demersal mollusc                                  ,2,76,Seacucumbers Echinoderms starfish nei
290011,Echinoidea,Sea urchins,demersal mollusc                                  ,2,76,Seacucumbers Echinoderms starfish nei
290012,Holothuroidea,Sea cucumbers,demersal mollusc                                  ,2,76,Seacucumbers Echinoderms starfish nei
290022,Crustacea,Crustaceans,lobsters crab                                     ,2,47,Marine crustaceans nei
300003,Chimaeriformes,Chimaeras,rays >=90 cm                                      ,3,38,Sharks rays skates etc
300007,Lamniformes,Mackerel sharks,shark >=90 cm                                     ,3,38,Sharks rays skates etc
300008,Carcharhiniformes,Ground sharks,shark <90 cm                                      ,3,38,Sharks rays skates etc
300009,Squaliformes,Bramble sleeper dogfish sharks,shark <90 cm                                      ,3,38,Sharks rays skates etc
300014,Rajiformes,Skates and rays,rays <90 cm                                       ,3,38,Sharks rays skates etc
300026,Anguilliformes,Eels and morays,demersal 30 - 90 cm                               ,3,39,Misc Finfishes
300028,Clupeiformes,Herrings,pelagic <30 cm                                    ,3,35,Herrings sardines anchovies
300044,Gadiformes,Cods,benthopelagic 30 - 90 cm                          ,3,32,Cods hakes haddocks
300059,Scorpaeniformes,Scorpionfishes and flatheads,demersal <30 cm                                   ,3,39,Misc Finfishes
300060,Perciformes,Perch-likes,demersal <30 cm                                   ,3,33,Redfishes basses congers
300061,Pleuronectiformes,Flatfishes,flatfish <90 cm                                   ,3,31,Flounders halibuts soles
390002,Teuthida,Squids,cephalopods                                       ,3,57,Squids cuttlefishes octopuses
390006,Sepiida,Cuttlefishes,cephalopods                                       ,3,57,Squids cuttlefishes octopuses
390007,Octopoda,Octopuses,cephalopods                                       ,3,57,Squids cuttlefishes octopuses
390017,Stomatopoda,Mantis shrimps,shrimp                                            ,3,47,Marine crustaceans nei
400002,Myxinidae,Hagfishes,bathydemersal 30 - 90 cm                          ,4,39,Misc Finfishes
400009,Lamnidae,Mackerel sharks white sharks,shark >=90 cm                                     ,4,38,Sharks rays skates etc
400010,Scyliorhinidae,Cat sharks,shark <90 cm                                      ,4,38,Sharks rays skates etc
400011,Carcharhinidae,Requiem sharks,shark >=90 cm                                     ,4,38,Sharks rays skates etc
400012,Sphyrnidae,Hammerhead bonnethead scoophead shark,shark >=90 cm                                     ,4,38,Sharks rays skates etc
400013,Squalidae,Dogfish sharks,shark >=90 cm                                     ,4,38,Sharks rays skates etc
